MarketId,Country,Admin1,Admin2,MarketName,Latitude,Longitude
4135,Democratic Republic of the Congo,Maniema,Kailo,Nyoka,-2.883326667,26.07511167
4136,Democratic Republic of the Congo,Maniema,Kabambare,Kayembe,-4.185248333,27.333505
4137,Democratic Republic of the Congo,Maniema,Kabambare,Wamaza,-4.216463333,27.112125
4138,Democratic Republic of the Congo,Maniema,Kasongo city,Limanga,-4.426381667,26.66774167
4139,Democratic Republic of the Congo,Maniema,Kibombo,Kibombo,-3.921846667,25.92246833
4140,Democratic Republic of the Congo,Maniema,Kibombo,Likeri,-4.273813333,26.010565
4141,Democratic Republic of the Congo,Haut-Katanga,Lubumbashi,Luowoshi,-11.64685667,27.544885
4142,Democratic Republic of the Congo,Lualaba,Sandoa,Sandoa,-9.695815,22.87156
4143,Democratic Republic of the Congo,Lualaba,Sandoa,Tshimbalanga,-9.73317,23.076885
4144,Democratic Republic of the Congo,Tanganyika,Moba,Kirungu,-7.072275,29.73406
4145,Democratic Republic of the Congo,Lomami,Kabinda city,Central de Kabinda,-6.139523333,24.48483167
4146,Democratic Republic of the Congo,Kasai-Oriental,Tshilenge,Luamuela,-6.186825596,23.65436762
4147,Democratic Republic of the Congo,Kasai-Oriental,Tshilenge city,Tshilenge,-6.235131907,23.75572298
4148,Democratic Republic of the Congo,Kasai-Oriental,Kabeya-Kamwanga,Tshitshianku,-6.26569,23.1065616
4149,Democratic Republic of the Congo,Sankuru,Lomela,Lokolo,-2.392616667,23.31300667
4150,Democratic Republic of the Congo,Kasai-Central,Demba,Central de Demba,-5.49608,22.271005
4151,Democratic Republic of the Congo,Kasai-Central,Demba,Zapo Zapo,-5.706761667,22.3303
4152,Democratic Republic of the Congo,Ituri,Djugu,Iga Barriere,1.735375,30.30366833
4158,Congo,Plateaux,Gamboma,Gamboma,-1.874795,15.870313
4159,Congo,Pool,Mindouli,Mindouli,-4.273433,14.358015
4167,Madagascar,Anosy,Betroka,Betroka,-23.271941,46.098397
4172,Yemen,Taizz,Al Mudhaffar,"Al Qershi ",13.576366,44.011215
4173,Yemen,Taizz,Al Mudhaffar,Sena,13.569474,44.000197
4174,Yemen,Taizz,Al Mudhaffar,Al Musla,13.576574,44.00773
4175,Yemen,Taizz,Al Mudhaffar,Bearbasha,13.587314,43.975557
4176,Yemen,Taizz,Al Qahirah,"Taiz central ",13.576603,44.013274
