Date of analysis,Country,Total country population,Level 1,Current from,Current to,Population analyzed current,Phase 3+ number current,Phase 3+ percentage current,Phase 1 number current,Phase 1 percentage current,Phase 2 number current,Phase 2 percentage current,Phase 3 number current,Phase 3 percentage current,Phase 4 number current,Phase 4 percentage current,Phase 5 number current,Phase 5 percentage current,First projection from,First projection to,Population analyzed first projection,Phase 3+ number first projection,Phase 3+ percentage first projection,Phase 1 number first projection,Phase 1 percentage first projection,Phase 2 number first projection,Phase 2 percentage first projection,Phase 3 number first projection,Phase 3 percentage first projection,Phase 4 number first projection,Phase 4 percentage first projection,Phase 5 number first projection,Phase 5 percentage first projection,Second projection from,Second projection to,Population analyzed second projection,Phase 3+ number second projection,Phase 3+ percentage second projection,Phase 1 number second projection,Phase 1 percentage second projection,Phase 2 number second projection,Phase 2 percentage second projection,Phase 3 number second projection,Phase 3 percentage second projection,Phase 4 number second projection,Phase 4 percentage second projection,Phase 5 number second projection,Phase 5 percentage second projection
#date+analysis,#country+code,#population,#loc+level1,#date+start+current,#date+end+current,#affected+num+ipc+current+total,#affected+num+ipc+current+p3plus,#affected+pct+ipc+current+p3plus,#affected+num+ipc+current+phase1,#affected+pct+ipc+current+phase1,#affected+num+ipc+current+phase2,#affected+pct+ipc+current+phase2,#affected+num+ipc+current+phase3,#affected+pct+ipc+current+phase3,#affected+num+ipc+current+phase4,#affected+pct+ipc+current+phase4,#affected+num+ipc+current+phase5,#affected+pct+ipc+current+phase5,#date+start+first_projection,#date+end+first_projection,#affected+num+ipc+first_projection+total,#affected+num+ipc+first_projection+p3plus,#affected+pct+ipc+first_projection+p3plus,#affected+num+ipc+first_projection+phase1,#affected+pct+ipc+first_projection+phase1,#affected+num+ipc+first_projection+phase2,#affected+pct+ipc+first_projection+phase2,#affected+num+ipc+first_projection+phase3,#affected+pct+ipc+first_projection+phase3,#affected+num+ipc+first_projection+phase4,#affected+pct+ipc+first_projection+phase4,#affected+num+ipc+first_projection+phase5,#affected+pct+ipc+first_projection+phase5,#date+start+second_projection,#date+end+second_projection,#affected+num+ipc+second_projection+total,#affected+num+ipc+second_projection+p3plus,#affected+pct+ipc+second_projection+p3plus,#affected+num+ipc+second_projection+phase1,#affected+pct+ipc+second_projection+phase1,#affected+num+ipc+second_projection+phase2,#affected+pct+ipc+second_projection+phase2,#affected+num+ipc+second_projection+phase3,#affected+pct+ipc+second_projection+phase3,#affected+num+ipc+second_projection+phase4,#affected+pct+ipc+second_projection+phase4,#affected+num+ipc+second_projection+phase5,#affected+pct+ipc+second_projection+phase5
Oct 2020,BEN,12500000,Plateau,2020-10-01,2020-12-31,781260,13546,0.02,654110,0.84,113603,0.15,13546,0.02,0,0,0,0,2021-06-01,2021-08-31,781260,3105,0,672751,0.86,105404,0.13,3105,0,0,0,0,0,,,,,,,,,,,,,,,
Oct 2020,BEN,12500000,Oueme,2020-10-01,2020-12-31,1020225,27964,0.03,839333,0.82,152929,0.15,27964,0.03,0,0,0,0,2021-06-01,2021-08-31,1020225,15988,0.02,898967,0.88,105271,0.1,15988,0.02,0,0,0,0,,,,,,,,,,,,,,,
Oct 2020,BEN,12500000,Couffo,2020-10-01,2020-12-31,726815,52816,0.07,487555,0.67,186443,0.26,52816,0.07,0,0,0,0,2021-06-01,2021-08-31,726815,29385,0.04,569391,0.78,128039,0.18,29385,0.04,0,0,0,0,,,,,,,,,,,,,,,
Oct 2020,BEN,12500000,Mono,2020-10-01,2020-12-31,421527,24717,0.06,298185,0.71,98625,0.23,24717,0.06,0,0,0,0,2021-06-01,2021-08-31,421527,18213,0.04,318016,0.75,85298,0.2,18213,0.04,0,0,0,0,,,,,,,,,,,,,,,
Oct 2020,BEN,12500000,Alibori,2020-10-01,2020-12-31,1088923,49456,0.05,852626,0.78,186841,0.17,49456,0.05,0,0,0,0,2021-06-01,2021-08-31,1088923,63334,0.06,813045,0.75,212544,0.2,63334,0.06,0,0,0,0,,,,,,,,,,,,,,,
Oct 2020,BEN,12500000,Collines,2020-10-01,2020-12-31,900646,56354,0.06,656366,0.73,187927,0.21,56354,0.06,0,0,0,0,2021-06-01,2021-08-31,900646,28427,0.03,765610,0.85,106609,0.12,28427,0.03,0,0,0,0,,,,,,,,,,,,,,,
Oct 2020,BEN,12500000,Donga,2020-10-01,2020-12-31,681589,20832,0.03,562879,0.83,97878,0.14,20832,0.03,0,0,0,0,2021-06-01,2021-08-31,681589,26017,0.04,541357,0.79,114215,0.17,26017,0.04,0,0,0,0,,,,,,,,,,,,,,,
Oct 2020,BEN,12500000,Borgou,2020-10-01,2020-12-31,1203562,23668,0.02,966681,0.8,213212,0.18,23668,0.02,0,0,0,0,2021-06-01,2021-08-31,1203562,37509,0.03,907054,0.75,258999,0.22,37509,0.03,0,0,0,0,,,,,,,,,,,,,,,
Oct 2020,BEN,12500000,Atacora,2020-10-01,2020-12-31,839366,32740,0.04,676209,0.81,130417,0.16,32740,0.04,0,0,0,0,2021-06-01,2021-08-31,839366,44250,0.05,645540,0.77,149576,0.18,44250,0.05,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,BFA,22969083,Nord,2024-03-01,2024-05-31,1905734,314283,0.17,1118008,0.59,473442,0.25,281393,0.15,32890,0.02,0,0,2024-06-01,2024-08-31,1905734,498284,0.26,852403,0.45,555047,0.29,388498,0.2,109786,0.06,0,0,,,,,,,,,,,,,,,
Mar 2024,BFA,22969083,Boucle du Mouhoun,2024-03-01,2024-05-31,2086060,107717,0.05,1709911,0.82,268432,0.13,107717,0.05,0,0,0,0,2024-06-01,2024-08-31,2086060,182521,0.09,1511369,0.72,392170,0.19,179414,0.09,3107,0,0,0,,,,,,,,,,,,,,,
Mar 2024,BFA,22969083,Cascades,2024-03-01,2024-05-31,925353,14512,0.02,856055,0.93,54787,0.06,14512,0.02,0,0,0,0,2024-06-01,2024-08-31,925353,23765,0.03,808524,0.87,93064,0.1,23765,0.03,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,BFA,22969083,Est,2024-03-01,2024-05-31,2195824,303298,0.14,1424468,0.65,468058,0.21,285479,0.13,17820,0.01,0,0,2024-06-01,2024-08-31,2195824,462678,0.21,1113165,0.51,619981,0.28,382875,0.17,79803,0.04,0,0,,,,,,,,,,,,,,,
Mar 2024,BFA,22969083,Hauts-Bassins,2024-03-01,2024-05-31,2522636,0,0,2399479,0.95,123157,0.05,0,0,0,0,0,0,2024-06-01,2024-08-31,2522636,4479,0,2331970,0.92,186187,0.07,4479,0,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,BFA,22969083,Centre-Ouest,2024-03-01,2024-05-31,1834277,82573,0.05,1457095,0.79,294609,0.16,82573,0.05,0,0,0,0,2024-06-01,2024-08-31,1834277,112759,0.06,1380602,0.75,340917,0.19,112759,0.06,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,BFA,22969083,Sahel,2024-03-01,2024-05-31,1203873,274706,0.23,546698,0.45,382470,0.32,249291,0.21,25414,0.02,0,0,2024-06-01,2024-08-31,1203873,483108,0.4,275332,0.23,445433,0.37,326800,0.27,156308,0.13,0,0,,,,,,,,,,,,,,,
Mar 2024,BFA,22969083,Centre-Sud,2024-03-01,2024-05-31,859347,19818,0.02,763438,0.89,76092,0.09,19818,0.02,0,0,0,0,2024-06-01,2024-08-31,859347,31435,0.04,723016,0.84,104896,0.12,31435,0.04,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,BFA,22969083,Centre-Nord,2024-03-01,2024-05-31,2094910,383799,0.18,1035545,0.49,675566,0.32,383799,0.18,0,0,0,0,2024-06-01,2024-08-31,2094910,571074,0.28,686506,0.33,837330,0.4,496739,0.24,74335,0.04,0,0,,,,,,,,,,,,,,,
Mar 2024,BFA,22969083,Sud-Ouest,2024-03-01,2024-05-31,969523,27433,0.03,807752,0.83,134338,0.14,27433,0.03,0,0,0,0,2024-06-01,2024-08-31,969523,39947,0.04,733981,0.76,195594,0.2,39947,0.04,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,BFA,22969083,Centre,2024-03-01,2024-05-31,3537996,70760,0.02,2759637,0.78,707599,0.2,70760,0.02,0,0,0,0,2024-06-01,2024-08-31,3537996,70760,0.02,2688877,0.76,778359,0.22,70760,0.02,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,BFA,22969083,Centre-Est,2024-03-01,2024-05-31,1755468,116087,0.07,1327962,0.76,311418,0.18,116087,0.07,0,0,0,0,2024-06-01,2024-08-31,1755468,195840,0.11,1096718,0.62,462910,0.26,195840,0.11,0,0,0,0,,,,,,,,,,,,,,,
Mar 2024,BFA,22969083,Plateau Central,2024-03-01,2024-05-31,1078082,34451,0.03,858430,0.8,185200,0.17,34451,0.03,0,0,0,0,2024-06-01,2024-08-31,1078082,57546,0.05,789725,0.73,230811,0.21,57546,0.05,0,0,0,0,,,,,,,,,,,,,,,
Nov 2023,BFA,22969083,Sud-Ouest,2023-10-01,2023-12-31,969523,18903,0.02,841957,0.87,108663,0.11,18903,0.02,0,0,0,0,2024-06-01,2024-08-31,969523,30315,0.03,791481,0.82,147727,0.15,30315,0.03,0,0,0,0,,,,,,,,,,,,,,,
Nov 2023,BFA,22969083,Hauts-Bassins,2023-10-01,2023-12-31,2522636,0,0,2493719,0.99,28917,0.01,0,0,0,0,0,0,2024-06-01,2024-08-31,2522636,0,0,2468492,0.98,54144,0.02,0,0,0,0,0,0,,,,,,,,,,,,,,,
Nov 2023,BFA,22969083,Nord,2023-10-01,2023-12-31,1905734,379384,0.2,813399,0.43,712951,0.37,346494,0.18,32890,0.02,0,0,2024-06-01,2024-08-31,1905734,523913,0.28,581485,0.31,800336,0.42,449824,0.24,74090,0.04,0,0,,,,,,,,,,,,,,,
Nov 2023,BFA,22969083,Est,2023-10-01,2023-12-31,2195824,489760,0.22,1140002,0.52,566063,0.26,467022,0.21,22738,0.01,0,0,2024-06-01,2024-08-31,2195824,592157,0.27,921954,0.42,681713,0.31,531709,0.24,60448,0.03,0,0,,,,,,,,,,,,,,,
Nov 2023,BFA,22969083,Sahel,2023-10-01,2023-12-31,1203873,403756,0.33,274444,0.23,525673,0.44,266081,0.22,137675,0.11,0,0,2024-06-01,2024-08-31,1203873,596513,0.5,137790,0.11,469570,0.39,405166,0.34,191347,0.16,0,0,,,,,,,,,,,,,,,
Nov 2023,BFA,22969083,Centre-Est,2023-10-01,2023-12-31,1755468,145331,0.08,1299466,0.74,310672,0.18,141286,0.08,4045,0,0,0,2024-06-01,2024-08-31,1755468,208829,0.11,1223149,0.7,323490,0.18,200739,0.11,8090,0,0,0,,,,,,,,,,,,,,,
Nov 2023,BFA,22969083,Cascades,2023-10-01,2023-12-31,925353,7256,0.01,901588,0.97,16509,0.02,7256,0.01,0,0,0,0,2024-06-01,2024-08-31,925353,14512,0.02,885078,0.96,25763,0.03,14512,0.02,0,0,0,0,,,,,,,,,,,,,,,
Nov 2023,BFA,22969083,Boucle du Mouhoun,2023-10-01,2023-12-31,2086060,235388,0.11,1457514,0.7,393158,0.19,192538,0.09,42850,0.02,0,0,2024-06-01,2024-08-31,2086060,295396,0.14,1305251,0.63,485412,0.23,236079,0.11,59317,0.03,0,0,,,,,,,,,,,,,,,
Nov 2023,BFA,22969083,Centre-Ouest,2023-10-01,2023-12-31,1834277,98674,0.05,1429172,0.78,306430,0.17,98674,0.05,0,0,0,0,2024-06-01,2024-08-31,1834277,128860,0.07,1304150,0.71,401267,0.22,128860,0.07,0,0,0,0,,,,,,,,,,,,,,,
Nov 2023,BFA,22969083,Centre-Nord,2023-10-01,2023-12-31,2094910,407240,0.19,1122171,0.54,565499,0.27,386291,0.18,20949,0.01,0,0,2024-06-01,2024-08-31,2094910,471481,0.23,956774,0.46,666654,0.32,439424,0.21,32057,0.02,0,0,,,,,,,,,,,,,,,
Nov 2023,BFA,22969083,Plateau Central,2023-10-01,2023-12-31,1078082,43189,0.04,894802,0.83,140091,0.13,43189,0.04,0,0,0,0,2024-06-01,2024-08-31,1078082,78659,0.07,785581,0.73,213841,0.2,78659,0.07,0,0,0,0,,,,,,,,,,,,,,,
Nov 2023,BFA,22969083,Centre-Sud,2023-10-01,2023-12-31,859347,13770,0.02,712216,0.83,133361,0.16,13770,0.02,0,0,0,0,2024-06-01,2024-08-31,859347,22363,0.03,660640,0.77,176344,0.21,22363,0.03,0,0,0,0,,,,,,,,,,,,,,,
Nov 2023,BFA,22969083,Centre,2023-10-01,2023-12-31,3537996,35380,0.01,2688877,0.76,813739,0.23,35380,0.01,0,0,0,0,2024-06-01,2024-08-31,3537996,35380,0.01,2618117,0.74,884499,0.25,35380,0.01,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,BFA,21253895,Nord,2023-03-01,2023-05-31,1864775,353031,0.19,1063504,0.57,448240,0.24,335862,0.18,17169,0.01,0,0,2023-06-01,2023-08-31,1864775,473223,0.25,895714,0.48,495838,0.27,392379,0.21,80844,0.04,0,0,,,,,,,,,,,,,,,
Mar 2023,BFA,21253895,Est,2023-03-01,2023-05-31,2148798,324180,0.15,1262703,0.59,561915,0.26,286425,0.13,37754,0.02,0,0,2023-06-01,2023-08-31,2148798,545423,0.25,845989,0.39,757386,0.35,452299,0.21,93124,0.04,0,0,,,,,,,,,,,,,,,
Mar 2023,BFA,21253895,Hauts-Bassins,2023-03-01,2023-05-31,2447490,48146,0.02,2239368,0.91,159977,0.07,48146,0.02,0,0,0,0,2023-06-01,2023-08-31,2447490,93524,0.04,2148611,0.88,205355,0.08,93524,0.04,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,BFA,21253895,Boucle du Mouhoun,2023-03-01,2023-05-31,1994566,251933,0.12,1380925,0.69,361709,0.18,207083,0.1,44850,0.02,0,0,2023-06-01,2023-08-31,1994566,388853,0.2,1153329,0.58,452384,0.23,293104,0.15,92758,0.05,2990,0,,,,,,,,,,,,,,,
Mar 2023,BFA,21253895,Sahel,2023-03-01,2023-05-31,1127810,549070,0.48,277960,0.25,300780,0.27,341803,0.3,184787,0.16,22480,0.02,2023-06-01,2023-08-31,1127810,719972,0.65,94394,0.08,313444,0.28,392114,0.35,288154,0.26,39704,0.04,,,,,,,,,,,,,,,
Mar 2023,BFA,21253895,Sud-Ouest,2023-03-01,2023-05-31,942048,34906,0.04,795465,0.84,111677,0.12,34906,0.04,0,0,0,0,2023-06-01,2023-08-31,942048,56523,0.06,751166,0.8,134359,0.14,56523,0.06,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,BFA,21253895,Centre-Nord,2023-03-01,2023-05-31,2061655,277154,0.13,1196466,0.58,588035,0.29,270481,0.13,6674,0,0,0,2023-06-01,2023-08-31,2061655,548006,0.26,829873,0.4,683776,0.33,498245,0.24,49761,0.02,0,0,,,,,,,,,,,,,,,
Mar 2023,BFA,21253895,Plateau Central,2023-03-01,2023-05-31,1052210,51225,0.05,817883,0.78,183103,0.17,51225,0.05,0,0,0,0,2023-06-01,2023-08-31,1052210,70461,0.07,768514,0.73,213235,0.2,70461,0.07,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,BFA,21253895,Centre-Sud,2023-03-01,2023-05-31,824100,18765,0.02,736292,0.89,69043,0.08,18765,0.02,0,0,0,0,2023-06-01,2023-08-31,824100,27895,0.03,717707,0.87,78498,0.1,27895,0.03,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,BFA,21253895,Centre-Est,2023-03-01,2023-05-31,1743823,101253,0.06,1276760,0.73,365810,0.21,101253,0.06,0,0,0,0,2023-06-01,2023-08-31,1743823,134835,0.08,1177288,0.68,431700,0.25,134835,0.08,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,BFA,21253895,Centre-Ouest,2023-03-01,2023-05-31,1783528,54892,0.03,1384861,0.78,343776,0.19,54892,0.03,0,0,0,0,2023-06-01,2023-08-31,1783528,76934,0.04,1310299,0.73,396295,0.22,76934,0.04,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,BFA,21253895,Cascades,2023-03-01,2023-05-31,889388,28646,0.03,760945,0.86,99797,0.11,28646,0.03,0,0,0,0,2023-06-01,2023-08-31,889388,44469,0.05,729298,0.82,115620,0.13,44469,0.05,0,0,0,0,,,,,,,,,,,,,,,
Mar 2023,BFA,21253895,Centre,2023-03-01,2023-05-31,3418637,102559,0.03,2632350,0.77,683727,0.2,102559,0.03,0,0,0,0,2023-06-01,2023-08-31,3418637,170932,0.05,2393046,0.7,854659,0.25,170932,0.05,0,0,0,0,,,,,,,,,,,,,,,
Nov 2022,BFA,21253895,Centre-Est,2022-10-01,2022-12-31,1743823,137795,0.08,1292140,0.74,313888,0.18,137795,0.08,0,0,0,0,2023-06-01,2023-08-31,1743823,183380,0.11,1164660,0.67,395783,0.23,183380,0.11,0,0,0,0,,,,,,,,,,,,,,,
Nov 2022,BFA,21253895,Boucle du Mouhoun,2022-10-01,2022-12-31,1994566,265867,0.13,1315728,0.66,412971,0.21,247927,0.12,17940,0.01,0,0,2023-06-01,2023-08-31,1994566,357857,0.17,1154816,0.58,481893,0.24,327957,0.16,29900,0.01,0,0,,,,,,,,,,,,,,,
Nov 2022,BFA,21253895,Plateau Central,2022-10-01,2022-12-31,1052210,53904,0.05,782300,0.74,216007,0.21,53904,0.05,0,0,0,0,2023-06-01,2023-08-31,1052210,82087,0.08,700071,0.67,270051,0.26,82087,0.08,0,0,0,0,,,,,,,,,,,,,,,
Nov 2022,BFA,21253895,Sud-Ouest,2022-10-01,2022-12-31,942048,19905,0.02,811818,0.86,110325,0.12,19905,0.02,0,0,0,0,2023-06-01,2023-08-31,942048,33841,0.04,776323,0.82,131883,0.14,33841,0.04,0,0,0,0,,,,,,,,,,,,,,,
Nov 2022,BFA,21253895,Centre-Ouest,2022-10-01,2022-12-31,1783528,133000,0.07,1343215,0.75,307313,0.17,133000,0.07,0,0,0,0,2023-06-01,2023-08-31,1783528,166660,0.09,1235012,0.69,381857,0.21,166660,0.09,0,0,0,0,,,,,,,,,,,,,,,
Nov 2022,BFA,21253895,Cascades,2022-10-01,2022-12-31,889388,26682,0.03,771803,0.87,90903,0.1,26682,0.03,0,0,0,0,2023-06-01,2023-08-31,889388,42505,0.05,712437,0.8,134446,0.15,42505,0.05,0,0,0,0,,,,,,,,,,,,,,,
Nov 2022,BFA,21253895,Centre-Sud,2022-10-01,2022-12-31,824100,3260,0,753371,0.91,67468,0.08,3260,0,0,0,0,0,2023-06-01,2023-08-31,824100,46951,0.06,677637,0.82,99512,0.12,46951,0.06,0,0,0,0,,,,,,,,,,,,,,,
Nov 2022,BFA,21253895,Est,2022-10-01,2022-12-31,2148798,496896,0.23,998704,0.46,653197,0.3,391073,0.18,105823,0.05,0,0,2023-06-01,2023-08-31,2148798,669468,0.31,721881,0.34,757449,0.35,498765,0.23,170703,0.08,0,0,,,,,,,,,,,,,,,
Nov 2022,BFA,21253895,Centre,2022-10-01,2022-12-31,3418637,205118,0.06,2393046,0.7,820473,0.24,205118,0.06,0,0,0,0,2023-06-01,2023-08-31,3418637,273491,0.08,2153741,0.63,991405,0.29,273491,0.08,0,0,0,0,,,,,,,,,,,,,,,
Nov 2022,BFA,21253895,Nord,2022-10-01,2022-12-31,1793526,276620,0.16,1051158,0.59,465748,0.26,262284,0.15,14336,0.01,0,0,2023-06-01,2023-08-31,1793526,348405,0.2,888244,0.5,556877,0.31,318299,0.18,30106,0.02,0,0,,,,,,,,,,,,,,,
Nov 2022,BFA,21253895,Sahel,2022-10-01,2022-12-31,1127809,426229,0.38,362569,0.32,339011,0.3,265059,0.24,159353,0.14,1817,0,2023-06-01,2023-08-31,1127809,609025,0.54,138693,0.12,380092,0.34,327082,0.29,262076,0.23,19867,0.02,,,,,,,,,,,,,,,
Nov 2022,BFA,21253895,Hauts-Bassins,2022-10-01,2022-12-31,2447490,73425,0.03,2246511,0.92,127555,0.05,73425,0.03,0,0,0,0,2023-06-01,2023-08-31,2447490,97900,0.04,2189614,0.89,159977,0.07,97900,0.04,0,0,0,0,,,,,,,,,,,,,,,
Nov 2022,BFA,21253895,Centre-Nord,2022-10-01,2022-12-31,2061655,499936,0.24,811514,0.39,750205,0.36,455739,0.22,44198,0.02,0,0,2023-06-01,2023-08-31,2061655,621650,0.31,556110,0.27,883895,0.43,567982,0.28,53669,0.03,0,0,,,,,,,,,,,,,,,
Mar 2022,BFA,21253895,Sahel,2022-03-01,2022-05-31,1290448,531737,0.41,296081,0.23,462630,0.36,353542,0.27,178195,0.14,0,0,2022-06-01,2022-08-31,1290448,685730,0.53,112809,0.09,491910,0.38,410791,0.32,274939,0.21,0,0,,,,,,,,,,,,,,,
Mar 2022,BFA,21253895,Centre-Sud,2022-03-01,2022-05-31,841934,25835,0.03,715463,0.85,100636,0.12,25835,0.03,0,0,0,0,2022-06-01,2022-08-31,841934,43584,0.05,640805,0.76,157546,0.19,43584,0.05,0,0,0,0,,,,,,,,,,,,,,,
Mar 2022,BFA,21253895,Sud-Ouest,2022-03-01,2022-05-31,838711,38269,0.05,662120,0.79,138322,0.16,38269,0.05,0,0,0,0,2022-06-01,2022-08-31,838711,53987,0.06,601821,0.72,182903,0.22,53987,0.06,0,0,0,0,,,,,,,,,,,,,,,
Mar 2022,BFA,21253895,Centre-Ouest,2022-03-01,2022-05-31,1346579,40641,0.03,1126487,0.84,179451,0.13,40641,0.03,0,0,0,0,2022-06-01,2022-08-31,1346579,73752,0.05,1059158,0.79,213669,0.16,73752,0.05,0,0,0,0,,,,,,,,,,,,,,,
Mar 2022,BFA,21253895,Nord,2022-03-01,2022-05-31,1837900,403446,0.22,937950,0.51,496505,0.27,329761,0.18,73685,0.04,0,0,2022-06-01,2022-08-31,1837900,549085,0.3,680387,0.37,608428,0.33,416530,0.23,132555,0.07,0,0,,,,,,,,,,,,,,,
Mar 2022,BFA,21253895,Boucle du Mouhoun,2022-03-01,2022-05-31,2036723,128252,0.06,1577850,0.77,330621,0.16,119122,0.06,9130,0,0,0,2022-06-01,2022-08-31,2036723,229906,0.11,1424018,0.7,382799,0.19,210892,0.1,19014,0.01,0,0,,,,,,,,,,,,,,,
Mar 2022,BFA,21253895,Cascades,2022-03-01,2022-05-31,867268,13514,0.02,786288,0.91,67466,0.08,13514,0.02,0,0,0,0,2022-06-01,2022-08-31,867268,27028,0.03,739999,0.85,100241,0.12,27028,0.03,0,0,0,0,,,,,,,,,,,,,,,
Mar 2022,BFA,21253895,Centre-Est,2022-03-01,2022-05-31,1475819,44893,0.03,1219126,0.83,211800,0.14,44893,0.03,0,0,0,0,2022-06-01,2022-08-31,1475819,83397,0.06,1120353,0.76,272070,0.18,83397,0.06,0,0,0,0,,,,,,,,,,,,,,,
Mar 2022,BFA,21253895,Centre-Nord,2022-03-01,2022-05-31,1883511,376779,0.2,855554,0.45,651179,0.35,340018,0.18,36760,0.02,0,0,2022-06-01,2022-08-31,1883511,575082,0.31,586011,0.31,722418,0.38,469575,0.25,105506,0.06,0,0,,,,,,,,,,,,,,,
Mar 2022,BFA,21253895,Est,2022-03-01,2022-05-31,2161656,361099,0.17,1224417,0.57,576140,0.27,335130,0.16,25969,0.01,0,0,2022-06-01,2022-08-31,2161656,591766,0.27,803469,0.37,766420,0.35,521519,0.24,70247,0.03,0,0,,,,,,,,,,,,,,,
Mar 2022,BFA,21253895,Plateau Central,2022-03-01,2022-05-31,1043964,36613,0.04,829134,0.79,178217,0.17,36613,0.04,0,0,0,0,2022-06-01,2022-08-31,1043964,59939,0.06,764198,0.73,219827,0.21,59939,0.06,0,0,0,0,,,,,,,,,,,,,,,
Mar 2022,BFA,21253895,Centre,2022-03-01,2022-05-31,3238837,325345,0.1,2187116,0.68,726376,0.22,325345,0.1,0,0,0,0,2022-06-01,2022-08-31,3238837,416324,0.13,2031360,0.63,791153,0.24,390122,0.12,26203,0.01,0,0,,,,,,,,,,,,,,,
Mar 2022,BFA,21253895,Hauts-Bassins,2022-03-01,2022-05-31,2390545,40025,0.02,2041033,0.85,309487,0.13,40025,0.02,0,0,0,0,2022-06-01,2022-08-31,2390545,63931,0.03,1904553,0.8,422061,0.18,63931,0.03,0,0,0,0,,,,,,,,,,,,,,,
Nov 2021,BFA,21880805,Centre-Est,2021-10-01,2021-12-31,1685357,52946,0.03,1369713,0.81,262699,0.16,52946,0.03,0,0,0,0,2022-06-01,2022-08-31,1685357,94519,0.06,1177026,0.7,413812,0.25,94519,0.06,0,0,0,0,,,,,,,,,,,,,,,
Nov 2021,BFA,21880805,Boucle du Mouhoun,2021-10-01,2021-12-31,2027172,53196,0.03,1719890,0.85,254085,0.13,53196,0.03,0,0,0,0,2022-06-01,2022-08-31,2027172,132138,0.06,1513334,0.75,381701,0.19,129095,0.06,3043,0,0,0,,,,,,,,,,,,,,,
Nov 2021,BFA,21880805,Cascades,2021-10-01,2021-12-31,867268,13514,0.02,763091,0.88,90663,0.1,13514,0.02,0,0,0,0,2022-06-01,2022-08-31,867268,20271,0.02,706213,0.81,140783,0.16,20271,0.02,0,0,0,0,,,,,,,,,,,,,,,
Nov 2021,BFA,21880805,Centre-Nord,2021-10-01,2021-12-31,1999398,443365,0.22,839645,0.42,716388,0.36,443365,0.22,0,0,0,0,2022-06-01,2022-08-31,1999398,665041,0.33,484239,0.24,850118,0.43,596677,0.3,68363,0.03,0,0,,,,,,,,,,,,,,,
Nov 2021,BFA,21880805,Sahel,2021-10-01,2021-12-31,1169342,371531,0.32,430119,0.37,367692,0.31,300511,0.26,71020,0.06,0,0,2022-06-01,2022-08-31,1169342,549992,0.47,209499,0.18,409851,0.35,335234,0.29,214758,0.18,0,0,,,,,,,,,,,,,,,
Nov 2021,BFA,21880805,Hauts-Bassins,2021-10-01,2021-12-31,2390545,27421,0.01,2249719,0.94,113405,0.05,27421,0.01,0,0,0,0,2022-06-01,2022-08-31,2390545,51326,0.02,2178003,0.91,161216,0.07,51326,0.02,0,0,0,0,,,,,,,,,,,,,,,
Nov 2021,BFA,21880805,Est,2021-10-01,2021-12-31,2073494,316949,0.15,1130518,0.55,626027,0.3,277483,0.13,39465,0.02,0,0,2022-06-01,2022-08-31,2073494,489996,0.24,764697,0.37,818802,0.39,392287,0.19,97708,0.05,0,0,,,,,,,,,,,,,,,
Nov 2021,BFA,21880805,Nord,2021-10-01,2021-12-31,1837900,238224,0.13,1071222,0.58,528454,0.29,231875,0.13,6350,0,0,0,2022-06-01,2022-08-31,1837900,370853,0.2,818885,0.45,648161,0.35,318333,0.17,52520,0.03,0,0,,,,,,,,,,,,,,,
Nov 2021,BFA,21880805,Centre-Sud,2021-10-01,2021-12-31,841934,18081,0.02,722156,0.86,101697,0.12,18081,0.02,0,0,0,0,2022-06-01,2022-08-31,841934,33163,0.04,642259,0.76,166512,0.2,33163,0.04,0,0,0,0,,,,,,,,,,,,,,,
Nov 2021,BFA,21880805,Plateau Central,2021-10-01,2021-12-31,1043964,26685,0.03,872251,0.84,145029,0.14,26685,0.03,0,0,0,0,2022-06-01,2022-08-31,1043964,50923,0.05,819904,0.79,173137,0.17,50923,0.05,0,0,0,0,,,,,,,,,,,,,,,
Nov 2021,BFA,21880805,Centre-Ouest,2021-10-01,2021-12-31,1772146,50583,0.03,1494000,0.84,227563,0.13,50583,0.03,0,0,0,0,2022-06-01,2022-08-31,1772146,86026,0.05,1338147,0.76,347973,0.2,86026,0.05,0,0,0,0,,,,,,,,,,,,,,,
Nov 2021,BFA,21880805,Sud-Ouest,2021-10-01,2021-12-31,933449,1056,0,810056,0.87,122337,0.13,1056,0,0,0,0,0,2022-06-01,2022-08-31,933449,23478,0.03,716172,0.77,193799,0.21,23478,0.03,0,0,0,0,,,,,,,,,,,,,,,
